country,year,pop,gdp,gdp.growth,pop.growth,invest,trade
Japan,2000,126729223,30953.4724,0.011351487,0.001271059,26.10995205,0.208979144
Jordan,1954,659275,2033.755367,0.048243993,0.041805864,20.76122393,0.631051901
Jordan,1959,812544,2588.565812,0.052034955,0.044923861,22.84487016,0.639701293
Jordan,1964,1017180,3357.77569,0.000597409,0.071393711,22.61398238,0.544271657
Jordan,1969,1453541,3367.820516,-0.031049332,0.035699635,34.89125112,0.574511378
Jordan,1974,1737593,2883.541266,0.068591493,0.03572191,55.22983102,1.098714658
Jordan,1979,2077386,4063.223445,0.031305823,0.039620186,61.71743768,1.274413058
Jordan,1984,2532511,4751.715577,-0.039587968,0.035142208,43.80796328,1.046184627
Jordan,1989,3018990,3898.39874,0.000603988,0.060479878,52.08747631,1.388928649
Jordan,1994,4085000,3910.189468,-0.005724997,0.023093675,49.76529221,1.210023042
Jordan,1999,4585000,3799.847156,0.027666426,0.022385123,40.03203893,1.104096066
Jordan,2004,5128000,4363.580674,0.012454193,0.040180227,42.61020065,1.434347455
Kazakhstan,1993,16451625,5526.802997,-0.041452073,-0.015207013,20.66352852,0.79321575
Kazakhstan,1998,15247098,4492.229669,0.098632906,-0.001838504,19.34696596,0.900118137
Kazakhstan,2003,15107581,7355.980771,0.087557453,0.003066462,24.90505049,0.946089048
Kenya,1950,6121184,974.6424621,0.010454419,0.02779997,17.91048039,0.53579914
Kenya,1955,7033999,1026.944116,-0.001314915,0.029619971,18.83096726,0.477420174
Kenya,1960,8156827,1020.214542,0.00826908,0.031519987,10.68581156,0.45013983
Kenya,1965,9549179,1063.279862,-0.00689054,0.032732485,12.46584554,0.434527843
Kenya,1970,11247182,1027.270867,0.002661848,0.035525515,20.79036003,0.471527648
Kenya,1975,13433414,1041.034449,0.019713586,0.039058395,17.15695108,0.498124257
Kenya,1980,16330543,1148.87455,-0.023535596,0.038139567,16.72969544,0.444468008
Kenya,1985,19761488,1021.329114,0.030222684,0.03341075,15.09064868,0.393013694
Kenya,1990,23354478,1187.937075,-0.010217134,0.029925347,11.61946767,0.494006636
Kenya,1995,27123906,1128.774559,0.000676919,0.023514555,12.6055125,0.501606534
Kenya,2000,30507979,1132.601474,0.006841397,0.026967205,13.77042014,0.535228224
Korea.Republic.of,1953,21060464,1597.110126,0.029693678,0.019812673,11.52801697,0.119996919
Korea.Republic.of,1958,23253622,1852.737384,0.00849745,0.031434402,10.0808548,0.166461821
Korea.Republic.of,1963,27211316,1933.15129,0.056990295,0.025022956,17.63083921,0.254018506
Korea.Republic.of,1968,30838000,2570.506439,0.068196636,0.019951517,22.95278084,0.39434943
Korea.Republic.of,1973,34073000,3614.979259,0.07563256,0.016585203,27.02684508,0.623390474
Korea.Republic.of,1978,37019000,5276.425713,0.036808059,0.015039125,34.52769842,0.677501004
Korea.Republic.of,1983,39910000,6342.602766,0.081262932,0.010356104,33.28159955,0.675949985
Korea.Republic.of,1988,42031000,9521.990154,0.06984313,0.010547219,40.72555182,0.589693378
Korea.Republic.of,1993,44307038,13501.75295,0.0298687,0.008157237,42.86163776,0.577891382
Korea.Republic.of,1998,46151512,15676.50392,0.060702477,0.006418412,35.49509675,0.704539547
Korea.Republic.of,2003,47656631,21235.52338,0.036910807,0.003008811,37.22561695,0.764386912
Kuwait,1986,1811489,30680.31485,0.013391638,-0.128233269,30.51216796,0.941497849
Kuwait,1991,954071,32804.95031,0.067458505,0.114691217,34.03317875,1.287069455
Kuwait,1996,1692893,45964.61931,-0.037538397,0.036122237,26.63136159,0.901706963
Kuwait,2001,2028000,38098.69269,0.060153928,0.026644632,29.51580977,0.873034771
Kyrgyzstan,1993,4490211,1743.0788,-0.014312805,0.010400662,10.28200063,0.784267429
Kyrgyzstan,1998,4729895,1622.695978,0.028317746,0.011871519,10.38433762,0.87961479
Kyrgyzstan,2003,5019150,1869.512463,0.031669698,0.013028704,9.967978795,1.06128064
Laos,1970,2844851,632.690045,0.032238145,0.021083014,6.583364244,0.128294251
Laos,1975,3161118,743.353248,0.010853445,0.008184305,6.686623999,0.128877607
Laos,1980,3293159,784.8076007,0.056992931,0.020968413,6.605277339,0.128247362
Laos,1985,3657169,1043.57046,0.01141616,0.028176131,8.582077182,0.248778148
Laos,1990,4210452,1104.8712,0.034503514,0.028116723,9.872206232,0.488858141
Laos,1995,4846000,1312.910377,0.018119391,0.021537924,15.03505139,0.707592345
Laos,2000,5397000,1437.410584,0.049735527,0.015640477,25.49330848,0.678255479
Latvia,1993,2565708,5999.09375,0.041761377,-0.012258397,12.25520588,1.013393487
Latvia,1998,2413173,7392.125422,0.065916071,-0.007621513,21.51967095,0.939463674
Latvia,2003,2322943,10277.89687,0.077720858,-0.006825879,29.78061313,1.05258085
Lebanon,1970,2383029,17687.87351,0.014534878,0.052541164,35.58288243,0.763293239
Lebanon,1975,3098996,19021.19114,-0.058701075,-0.000745435,32.78184065,0.946308854
Lebanon,1980,3087467,14183.06015,0.088491268,0.000192492,31.51484168,1.236584991
Lebanon,1985,3090440,22076.30025,-0.188111756,0.003797096,55.72469074,1.440504646
Lebanon,1990,3149674,8618.800002,0.032828407,0.029704701,55.95083613,0.898560115
Lebanon,1995,3654000,10156.23597,-0.026684141,0.007361476,45.2506343,0.634221033
Lebanon,2000,3791000,8887.690185,0.023812199,0.005258666,33.46394985,0.550283706
Liberia,1970,1396565,1879.876302,-0.012972547,0.02921662,11.80671586,1.416163168
Liberia,1975,1616234,1761.812734,0.000617425,0.026887497,19.43182343,1.43717643
Liberia,1980,1848799,1767.260075,-0.039058256,0.02896118,18.33843227,1.009163241
Liberia,1985,2136870,1453.739333,-0.205934562,-0.001845852,9.235031045,0.715025582
Liberia,1990,2117239,519.1648988,-0.240404279,-0.013883379,8.581890151,0.569872139
Liberia,1995,1975252,156.0536974,0.242717953,0.05504,8.390454051,0.569007758
Liberia,2000,2601000,525.2056646,-0.085386877,0.023821287,6.419735043,0.627227836
Libya,1986,3699538,22953.47361,-0.069813067,0.027852953,20.40716373,0.616142589
Libya,1991,4252354,16190.1648,-0.027050729,0.019435367,16.04986156,0.577221707
Libya,1996,4686329,14142.01708,0.01592096,0.022357252,14.41945221,0.466148778
Libya,2001,5240599,15313.811,0.046338894,0.023728867,12.58488113,0.83665851
Lithuania,1993,3689004,8014.702978,0.016672018,-0.001514856,12.25844617,1.246656914
